timepoint model testSet feature importance
1.0 timeSocialPlace 0 metAtHome 0.0181183723606
1.0 timeSocialPlace 0 metAtUniversity 0.0600364957437
1.0 timeSocialPlace 0 metAtThirdPlace 0.0078962264134
1.0 timeSocialPlace 0 metAtOtherPlace 0.0107792799267
1.0 timeSocialPlace 0 timeSpentAtHomeWith 0.0178280181038
1.0 timeSocialPlace 0 timeSpentAtUniversityWith 0.0884477128881
1.0 timeSocialPlace 0 timeSpentAtThirdPlaceWith 0.00313083885584
1.0 timeSocialPlace 0 timeSpentAtOtherPlaceWith 0.00299605837965
1.0 timeSocialPlace 0 spatialTriadicClosure 0.160318782601
1.0 timeSocialPlace 0 candidatesSpatialTriadicClosure 0.000286161239396
1.0 timeSocialPlace 0 numberOfPeople 0.149483480569
1.0 timeSocialPlace 0 metAtHourOfTheWeek 0.0849916376689
1.0 timeSocialPlace 0 metAtDayOfTheWeek 0.0445423652126
1.0 timeSocialPlace 0 metAtHourOfTheDay 0.100731586349
1.0 timeSocialPlace 1 timeSpent 0.172683791654
1.0 timeSocialPlace 1 friends 0.0741661993317
1.0 timeSocialPlace 1 metAtHome 0.0165268156518
1.0 timeSocialPlace 1 metAtUniversity 0.0602216168865
1.0 timeSocialPlace 1 metAtThirdPlace 0.00662560206284
1.0 timeSocialPlace 1 metAtOtherPlace 0.0098202668761
1.0 timeSocialPlace 1 timeSpentAtHomeWith 0.0154488974479
1.0 timeSocialPlace 1 timeSpentAtUniversityWith 0.0901197472994
1.0 timeSocialPlace 1 timeSpentAtThirdPlaceWith 0.0035240602802
1.0 timeSocialPlace 1 timeSpentAtOtherPlaceWith 0.00241998648282
1.0 timeSocialPlace 1 spatialTriadicClosure 0.166058436603
1.0 timeSocialPlace 1 candidatesSpatialTriadicClosure 0.000568024504365
1.0 timeSocialPlace 1 numberOfPeople 0.149893426101
1.0 timeSocialPlace 1 metAtHourOfTheWeek 0.0873135638454
1.0 timeSocialPlace 1 metAtDayOfTheWeek 0.0438094713532
1.0 timeSocialPlace 1 metAtHourOfTheDay 0.100800093619
1.0 timeSocialPlace 2 timeSpent 0.177885498243
